['3355', 100] ['61684', 100]
['3355', 101] ['61684', 101]
['3355', 101] ['61684', 101]
['3355', 102] ['61684', 102]
['3355', 102] ['61684', 102]
['3355', 103] ['61684', 103]
['3355', 103] ['61684', 103]
['3355', 104] ['61684', 104]
['3355', 104] ['61684', 104]
['3355', 105] ['61684', 105]
['3355', 105] ['61684', 105]
['3355', 106] ['61684', 106]
['3355', 106] ['61684', 106]
['3355', 107] ['61684', 107]
['3355', 107] ['61684', 107]
['3355', 108] ['61684', 108]
['3355', 108] ['61684', 108]
['3355', 109] ['61684', 109]
['3355', 109] ['61684', 109]
['3355', 110] ['61684', 110]
['3355', 110] ['61684', 110]
['3355', 111] ['61684', 111]
['3355', 111] ['61684', 111]
['3355', 112] ['61684', 112]
['3355', 112] ['61684', 112]
['3355', 113] ['61684', 113]
['3355', 113] ['61684', 113]
['3355', 114] ['61684', 114]
['3355', 114] ['61684', 114]
['3355', 115] ['61684', 115]
['3355', 115] ['61684', 115]
['3355', 116] ['61684', 116]
['3355', 116] ['61684', 116]
['3355', 117] ['61684', 117]
['3355', 118] ['61684', 117]
['3355', 118] ['61684', 117]
['3355', 118] ['61684', 118]
['3355', 119] ['61684', 119]
['3355', 119] ['61684', 119]
['3355', 120] ['61684', 120]
['3355', 120] ['61684', 120]
['3355', 121] ['61684', 121]
['3355', 121] ['61684', 121]
['3355', 122] ['61684', 122]
['3355', 122] ['61684', 122]
['3355', 123] ['61684', 123]
['3355', 123] ['61684', 123]
['3355', 124] ['61684', 124]
['3355', 124] ['61684', 124]
['3355', 125] ['61684', 125]
['3355', 125] ['61684', 125]
['3355', 126] ['61684', 126]
['3355', 126] ['61684', 126]
['3355', 127] ['61684', 127]
['3355', 127] ['61684', 127]
['3355', 128] ['61684', 128]
['3355', 128] ['61684', 128]
['3355', 129] ['61684', 129]
['3355', 129] ['61684', 129]
['3355', 130] ['61684', 130]
['3355', 130] ['61684', 130]
['3355', 131] ['61684', 131]
['3355', 131] ['61684', 131]
['3355', 132] ['61684', 132]
['3355', 132] ['61684', 132]
['3355', 133] ['61684', 133]
['3355', 133] ['61684', 133]
['3355', 134] ['61684', 134]
['3355', 134] ['61684', 134]
['3355', 135] ['61684', 135]
['3355', 135] ['61684', 135]
['3355', 136] ['61684', 136]
['3355', 136] ['61684', 136]
['3355', 137] ['61684', 137]
['3355', 137] ['61684', 137]
['3355', 138] ['61684', 138]
['3355', 138] ['61684', 138]
['3355', 139] ['61684', 139]
['3355', 139] ['61684', 139]
['3355', 140] ['61684', 140]
['3355', 140] ['61684', 140]
['3355', 141] ['61684', 141]
['3355', 141] ['61684', 141]
['3355', 142] ['61684', 142]
['3355', 142] ['61684', 142]
['3355', 143] ['61684', 143]
['3355', 143] ['61684', 143]
['3355', 144] ['61684', 144]
['3355', 144] ['61684', 144]
['3355', 145] ['61684', 145]
['3355', 145] ['61684', 145]
['3355', 146] ['61684', 146]
['3355', 146] ['61684', 146]
['3355', 147] ['61684', 147]
['3355', 147] ['61684', 147]
['3355', 148] ['61684', 148]
['3355', 148] ['61684', 148]
['3355', 149] ['61684', 149]
['3355', 149] ['61684', 149]
['3355', 150] ['61684', 150]
['3355', 150] ['61684', 150]
['3355', 151] ['61684', 151]
['3355', 151] ['61684', 151]
['3355', 152] ['61684', 152]
['3355', 152] ['61684', 152]
['3355', 153] ['61684', 153]
['3355', 153] ['61684', 153]
['3355', 154] ['61684', 154]
['3355', 154] ['61684', 154]
['3355', 155] ['61684', 155]
['3355', 155] ['61684', 155]
['3355', 156] ['61684', 156]
['3355', 156] ['61684', 156]
['3355', 157] ['61684', 157]
['3355', 157] ['61684', 157]
['3355', 158] ['61684', 158]
['3355', 158] ['61684', 158]
['3355', 159] ['61684', 159]
['3355', 159] ['61684', 159]
['3355', 160] ['61684', 160]
['3355', 160] ['61684', 160]
['3355', 161] ['61684', 161]
['3355', 161] ['61684', 161]
['3355', 162] ['61684', 162]
['3355', 162] ['61684', 162]
['3355', 163] ['61684', 163]
['3355', 163] ['61684', 163]
['3355', 164] ['61684', 164]
['3355', 164] ['61684', 164]
['3355', 165] ['61684', 165]
['3355', 165] ['61684', 165]
['3355', 166] ['61684', 166]
['3355', 166] ['61684', 166]
['3355', 167] ['61684', 167]
['3355', 167] ['61684', 167]
['3355', 168] ['61684', 168]
['3355', 168] ['61684', 168]
['3355', 169] ['61684', 169]
['3355', 169] ['61684', 169]
['3355', 170] ['61684', 170]
['3355', 170] ['61684', 170]
['3355', 171] ['61684', 171]
['3355', 171] ['61684', 171]
['3355', 172] ['61684', 172]
['3355', 172] ['61684', 172]
['3355', 173] ['61684', 173]
['3355', 173] ['61684', 173]
['3355', 174] ['61684', 174]
['3355', 174] ['61684', 174]
['3355', 175] ['61684', 175]
['3355', 175] ['61684', 175]
['3355', 176] ['61684', 176]
['3355', 176] ['61684', 176]
['3355', 177] ['61684', 177]
['3355', 177] ['61684', 177]
['3355', 178] ['61684', 178]
['3355', 178] ['61684', 178]
['3355', 179] ['61684', 179]
['3355', 179] ['61684', 179]
['3355', 180] ['61684', 180]
['3355', 180] ['61684', 180]
['3355', 181] ['61684', 181]
['3355', 181] ['61684', 181]
['3355', 182] ['61684', 182]
['3355', 182] ['61684', 182]
['3355', 183] ['61684', 183]
['3355', 183] ['61684', 183]
['3355', 184] ['61684', 184]
['3355', 184] ['61684', 184]
['3355', 185] ['61684', 185]
['3355', 185] ['61684', 185]
['3355', 186] ['61684', 186]
['3355', 186] ['61684', 186]
['3355', 187] ['61684', 187]
['3355', 187] ['61684', 187]
['3355', 188] ['61684', 188]
['3355', 188] ['61684', 188]
['3355', 189] ['61684', 189]
['3355', 190] ['61684', 189]
['3355', 190] ['61684', 189]
['3355', 190] ['61684', 190]
['3355', 191] ['61684', 191]
['3355', 191] ['61684', 191]
['3355', 192] ['61684', 192]
['3355', 192] ['61684', 192]
['3355', 193] ['61684', 193]
['3355', 193] ['61684', 193]
['3355', 194] ['61684', 194]
['3355', 194] ['61684', 194]
['3355', 195] ['61684', 195]
['3355', 195] ['61684', 195]
['3355', 196] ['61684', 196]
['3355', 196] ['61684', 196]
['3355', 197] ['61684', 197]
['3355', 197] ['61684', 197]
['3355', 198] ['61684', 198]
['3355', 198] ['61684', 198]
['3355', 199] ['61684', 199]
['3355', 199] ['61684', 199]
['3355', 200] ['61684', 200]
['3355', 200] ['61684', 200]
['3355', 201] ['61684', 201]
['3355', 201] ['61684', 201]
['3355', 202] ['61684', 202]
['3355', 202] ['61684', 202]
['3355', 203] ['61684', 203]
['3355', 203] ['61684', 203]
['3355', 204] ['61684', 204]
['3355', 204] ['61684', 204]
['3355', 205] ['61684', 205]
['3355', 205] ['61684', 205]
['3355', 206] ['61684', 206]
['3355', 206] ['61684', 206]
['3355', 207] ['61684', 207]
['3355', 207] ['61684', 207]
['3355', 208] ['61684', 208]
['3355', 208] ['61684', 208]
['3355', 209] ['61684', 209]
['3355', 209] ['61684', 209]
['3355', 210] ['61684', 210]
['3355', 210] ['61684', 210]
['3355', 211] ['61684', 211]
['3355', 211] ['61684', 211]
['3355', 212] ['61684', 212]
['3355', 212] ['61684', 212]
['3355', 213] ['61684', 213]
['3355', 213] ['61684', 213]
['3355', 214] ['61684', 214]
['3355', 214] ['61684', 214]
['3355', 215] ['61684', 215]
['3355', 215] ['61684', 215]
['3355', 216] ['61684', 216]
['3355', 216] ['61684', 216]
['3355', 217] ['61684', 217]
['3355', 217] ['61684', 217]
['3355', 218] ['61684', 218]
['3355', 218] ['61684', 218]
['3355', 219] ['61684', 219]
['3355', 219] ['61684', 219]
['3355', 220] ['61684', 220]
['3355', 220] ['61684', 220]
['3355', 221] ['61684', 221]
['3355', 221] ['61684', 221]
['3355', 222] ['61684', 222]
['3355', 222] ['61684', 222]
['3355', 223] ['61684', 223]
['3355', 223] ['61684', 223]
['3355', 224] ['61684', 224]
['3355', 224] ['61684', 224]
['3355', 225] ['61684', 225]
['3355', 225] ['61684', 225]
['3355', 226] ['61684', 226]
['3355', 226] ['61684', 226]
['3355', 227] ['61684', 227]
['3355', 227] ['61684', 227]
['3355', 228] ['61684', 228]
['3355', 228] ['61684', 228]
['3355', 229] ['61684', 229]
['3355', 229] ['61684', 229]
['3355', 230] ['61684', 230]
['3355', 230] ['61684', 230]
['3355', 231] ['61684', 231]
['3355', 231] ['61684', 231]
['3355', 232] ['61684', 232]
['3355', 232] ['61684', 232]
['3355', 233] ['61684', 233]
['3355', 234] ['61684', 233]
['3355', 234] ['61684', 233]
['3355', 234] ['61684', 234]
['3355', 235] ['61684', 235]
['3355', 235] ['61684', 235]
['3355', 236] ['61684', 236]
['3355', 236] ['61684', 236]
['3355', 237] ['61684', 237]
['3355', 237] ['61684', 237]
['3355', 238] ['61684', 238]
['3355', 238] ['61684', 238]
['3355', 239] ['61684', 239]
['3355', 239] ['61684', 239]
['3355', 240] ['61684', 240]
['3355', 240] ['61684', 240]
['3355', 241] ['61684', 241]
['3355', 241] ['61684', 241]
['3355', 242] ['61684', 242]
['3355', 242] ['61684', 242]
['3355', 243] ['61684', 243]
['3355', 243] ['61684', 243]
['3355', 244] ['61684', 244]
['3355', 244] ['61684', 244]
['3355', 245] ['61684', 245]
['3355', 245] ['61684', 245]
['3355', 246] ['61684', 246]
['3355', 246] ['61684', 246]
['3355', 247] ['61684', 247]
['3355', 247] ['61684', 247]
['3355', 248] ['61684', 248]
['3355', 248] ['61684', 248]
['3355', 249] ['61684', 249]
['3355', 249] ['61684', 249]
['3355', 250] ['61684', 250]
['3355', 250] ['61684', 250]
['3355', 251] ['61684', 251]
['3355', 251] ['61684', 251]
['3355', 252] ['61684', 252]
['3355', 252] ['61684', 252]
['3355', 253] ['61684', 253]
['3355', 253] ['61684', 253]
['3355', 254] ['61684', 254]
['3355', 254] ['61684', 254]
['3355', 255] ['61684', 255]
['3355', 255] ['61684', 255]
['3355', 256] ['61684', 256]
['3355', 256] ['61684', 256]
['3355', 257] ['61684', 257]
['3355', 257] ['61684', 257]
['3355', 258] ['61684', 258]
['3355', 258] ['61684', 258]
['3355', 259] ['61684', 259]
['3355', 259] ['61684', 259]
['3355', 260] ['61684', 260]
['3355', 260] ['61684', 260]
['3355', 261] ['61684', 261]
['3355', 261] ['61684', 261]
['3355', 262] ['61684', 262]
['3355', 262] ['61684', 262]
['3355', 263] ['61684', 263]
['3355', 263] ['61684', 263]
['3355', 264] ['61684', 264]
['3355', 264] ['61684', 264]
['3355', 265] ['61684', 265]
['3355', 265] ['61684', 265]
['3355', 266] ['61684', 266]
['3355', 266] ['61684', 266]
['3355', 267] ['61684', 267]
['3355', 267] ['61684', 267]
['3355', 268] ['61684', 268]
['3355', 268] ['61684', 268]
['3355', 269] ['61684', 269]
['3355', 269] ['61684', 269]
['3355', 270] ['61684', 270]
['3355', 270] ['61684', 270]
['3355', 271] ['61684', 271]
['3355', 271] ['61684', 271]
['3355', 272] ['61684', 272]
['3355', 272] ['61684', 272]
['3355', 273] ['61684', 273]
['3355', 273] ['61684', 273]
['3355', 274] ['61684', 274]
['3355', 274] ['61684', 274]
['3355', 275] ['61684', 275]
['3355', 275] ['61684', 275]
['3355', 276] ['61684', 276]
['3355', 276] ['61684', 276]
['3355', 277] ['61684', 277]
['3355', 277] ['61684', 277]
['3355', 278] ['61684', 278]
['3355', 278] ['61684', 278]
['3355', 279] ['61684', 279]
['3355', 279] ['61684', 279]
['3355', 280] ['61684', 280]
['3355', 280] ['61684', 280]
['3355', 281] ['61684', 281]
['3355', 281] ['61684', 281]
['3355', 282] ['61684', 282]
['3355', 282] ['61684', 282]
['3355', 283] ['61684', 283]
['3355', 283] ['61684', 283]
['3355', 284] ['61684', 284]
['3355', 284] ['61684', 284]
['3355', 285] ['61684', 285]
['3355', 285] ['61684', 285]
['3355', 286] ['61684', 286]
['3355', 286] ['61684', 286]
['3355', 287] ['61684', 287]
['3355', 287] ['61684', 287]
['3355', 288] ['61684', 288]
['3355', 288] ['61684', 288]
['3355', 289] ['61684', 289]
['3355', 289] ['61684', 289]
['3355', 290] ['61684', 290]
['3355', 290] ['61684', 290]
['3355', 291] ['61684', 291]
['3355', 291] ['61684', 291]
['3355', 292] ['61684', 292]
